#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	151	378	-	PPDDFK_00005		hypothetical protein	
contig_1	cds	388	1095	-	PPDDFK_00010		hypothetical protein	PFAM:PF00773.23
contig_1	cds	1092	1334	-	PPDDFK_00015		Exoribonuclease R	SO:0001217, UniRef:UniRef50_A0A377AS33
contig_1	cds	2156	2314	-	PPDDFK_00020		hypothetical protein	
contig_1	cds	3647	4246	+	PPDDFK_00025		hypothetical protein	
contig_1	cds	4179	4517	-	PPDDFK_00030	hflC	HflC protein	SO:0001217, UniRef:UniRef50_A0A2X1J909
contig_1	cds	5307	5429	-	PPDDFK_00035		hypothetical protein	
contig_1	cds	6844	7314	-	PPDDFK_00040	hflX	(pseudo) ribosome rescue GTPase HflX	EC:3.6.5.-, GO:0005525, KEGG:K03665, SO:0001217, UniRef:UniRef50_A0A377XJQ2, UniRef:UniRef90_A0A377XJQ2
contig_1	cds	7778	8152	-	PPDDFK_00045		hypothetical protein	PFAM:PF17209.7
contig_1	cds	8244	8870	-	PPDDFK_00050	miaA	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA	EC:2.5.1.75, GO:0005737, GO:0006400, GO:0052381, SO:0001217, UniRef:UniRef50_A0A3B8T5A5, UniRef:UniRef90_UPI00067D86A0
contig_1	cds	8882	9595	-	PPDDFK_00055		hypothetical protein	PFAM:PF01715.21, PFAM:PF08676.15
contig_1	cds	9576	9995	-	PPDDFK_00060		hypothetical protein	
contig_1	cds	10061	11041	-	PPDDFK_00065	mutL	DNA mismatch repair endonuclease MutL	GO:0005524, GO:0006298, GO:0016887, GO:0030983, GO:0032300, SO:0001217, UniRef:UniRef50_A0A379FEV2, UniRef:UniRef90_A0A2X4TMS8
contig_1	cds	11056	11280	-	PPDDFK_00070		N-acetylmuramoyl-L-alanine amidase	SO:0001217, UniRef:UniRef50_A0A4U9D4M0, UniRef:UniRef90_A0A4U9D4M0
contig_1	cds	11677	12396	-	PPDDFK_00075		N-acetylmuramoyl-L-alanine amidase	SO:0001217, UniRef:UniRef50_A0A447RXK5
contig_1	cds	12413	12874	-	PPDDFK_00080	tsaE	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	COG:COG0802, COG:J, EC:2.3.1.234, GO:0002949, RefSeq:WP_002885589.1, SO:0001217, UniParc:UPI000157647A, UniRef:UniRef100_A0A237TEX0, UniRef:UniRef50_P0AF68, UniRef:UniRef90_A0A1C3Q7E4
contig_1	cds	12867	13580	-	PPDDFK_00085		ADP-dependent (S)-NAD(P)H-hydrate dehydratase	SO:0001217, UniRef:UniRef50_A0A919LPW9, UniRef:UniRef90_A0A919LPW9
contig_1	cds	13703	14269	-	PPDDFK_00090		NAD(P)H-hydrate epimerase	SO:0001217, UniRef:UniRef50_A0A447PVX4
contig_1	cds	14284	14376	-	PPDDFK_00095		hypothetical protein	
contig_1	cds	14390	14929	+	PPDDFK_00100	yjeS	Electron transport protein YjeS	SO:0001217, UniRef:UniRef50_A0A2X1Q130
contig_1	cds	14988	15437	+	PPDDFK_00105	yjeS	Electron transport protein YjeS	SO:0001217, UniRef:UniRef50_A0A377M7P3
contig_1	tRNA	15800	15875	-	PPDDFK_00110	trnG	tRNA-Gly(gcc)	SO:0000260
contig_1	tRNA	15948	16023	-	PPDDFK_00115	trnG	tRNA-Gly(gcc)	SO:0000260
contig_1	tRNA	16092	16167	-	PPDDFK_00120	trnG	tRNA-Gly(gcc)	SO:0000260
